Teste-or-4-mult-2.1-sigma-0.63: 0.727235 , interval: 0.011423
Teste-or-4-mult-2.1-sigma-0.67: 0.718855 , interval: 0.011952
Teste-or-4-mult-2.1-sigma-0.69: 0.713785 , interval: 0.012388
Teste-or-4-mult-2.1-sigma-0.71: 0.696862 , interval: 0.013485


Teste-or-6-minW-3-sigma-0.85: 0.156065 , interval: 0.009421
Teste-or-6-minW-3-sigma-0.75: 0.077053 , interval: 0.008609
Teste-or-6-minW-3-sigma-0.65: 0.448586 , interval: 0.017901
Teste-or-6-minW-3-sigma-0.55: 0.684114 , interval: 0.013159
Teste-or-6-minW-4-sigma-0.85: 0.250487 , interval: 0.014946
Teste-or-6-minW-4-sigma-0.75: 0.343060 , interval: 0.019803
Teste-or-6-minW-4-sigma-0.65: 0.601078 , interval: 0.014531
Teste-or-6-minW-4-sigma-0.55: 0.695386 , interval: 0.011380
Teste-or-6-minW-5-sigma-0.85: 0.415716 , interval: 0.020582
Teste-or-6-minW-5-sigma-0.75: 0.501314 , interval: 0.017709
Teste-or-6-minW-5-sigma-0.65: 0.660193 , interval: 0.011399
Teste-or-6-minW-5-sigma-0.55: 0.673833 , interval: 0.011554
Teste-or-6-minW-6-sigma-0.85: 0.510373 , interval: 0.018099
Teste-or-6-minW-6-sigma-0.75: 0.578248 , interval: 0.015484
Teste-or-6-minW-6-sigma-0.65: 0.689903 , interval: 0.011380
Teste-or-6-minW-6-sigma-0.55: 0.653732 , interval: 0.013050
Teste-or-6-minW-7-sigma-0.85: 0.572354 , interval: 0.017372
Teste-or-6-minW-7-sigma-0.75: 0.633554 , interval: 0.014401
Teste-or-6-minW-7-sigma-0.65: 0.707011 , interval: 0.011565
Teste-or-6-minW-7-sigma-0.55: 0.638713 , interval: 0.013295
Teste-or-6-minW-8-sigma-0.85: 0.599856 , interval: 0.014400
Teste-or-6-minW-8-sigma-0.75: 0.655303 , interval: 0.012923
Teste-or-6-minW-8-sigma-0.65: 0.710514 , interval: 0.011277
Teste-or-6-minW-8-sigma-0.55: 0.625770 , interval: 0.013395
Teste-or-6-minW-9-sigma-0.85: 0.614565 , interval: 0.013648
