0.020000	 19.000000 	 21.000000 	 8.000000 	 0.475000 	 0.703704 	 0.567164 
0.040000	 19.000000 	 21.000000 	 8.000000 	 0.475000 	 0.703704 	 0.567164 
0.060000	 19.000000 	 21.000000 	 8.000000 	 0.475000 	 0.703704 	 0.567164 
0.080000	 19.000000 	 21.000000 	 8.000000 	 0.475000 	 0.703704 	 0.567164 
0.100000	 19.000000 	 21.000000 	 8.000000 	 0.475000 	 0.703704 	 0.567164 
0.120000	 19.000000 	 21.000000 	 8.000000 	 0.475000 	 0.703704 	 0.567164 
0.140000	 19.000000 	 21.000000 	 8.000000 	 0.475000 	 0.703704 	 0.567164 
0.160000	 19.000000 	 15.000000 	 8.000000 	 0.558824 	 0.703704 	 0.622951 
0.180000	 18.000000 	 13.000000 	 9.000000 	 0.580645 	 0.666667 	 0.620690 
0.200000	 18.000000 	 11.000000 	 9.000000 	 0.620690 	 0.666667 	 0.642857 
0.220000	 16.000000 	 10.000000 	 11.000000 	 0.615385 	 0.592593 	 0.603774 
0.240000	 16.000000 	 6.000000 	 11.000000 	 0.727273 	 0.592593 	 0.653061 
0.260000	 16.000000 	 6.000000 	 11.000000 	 0.727273 	 0.592593 	 0.653061 
0.280000	 11.000000 	 3.000000 	 16.000000 	 0.785714 	 0.407407 	 0.536585 
0.300000	 11.000000 	 3.000000 	 16.000000 	 0.785714 	 0.407407 	 0.536585 
0.320000	 11.000000 	 3.000000 	 16.000000 	 0.785714 	 0.407407 	 0.536585 
0.340000	 7.000000 	 3.000000 	 20.000000 	 0.700000 	 0.259259 	 0.378378 
0.360000	 7.000000 	 3.000000 	 20.000000 	 0.700000 	 0.259259 	 0.378378 
0.380000	 6.000000 	 3.000000 	 21.000000 	 0.666667 	 0.222222 	 0.333333 
0.400000	 6.000000 	 3.000000 	 21.000000 	 0.666667 	 0.222222 	 0.333333 
0.420000	 5.000000 	 3.000000 	 22.000000 	 0.625000 	 0.185185 	 0.285714 
0.440000	 4.000000 	 2.000000 	 23.000000 	 0.666667 	 0.148148 	 0.242424 
0.460000	 2.000000 	 2.000000 	 25.000000 	 0.500000 	 0.074074 	 0.129032 
0.480000	 1.000000 	 2.000000 	 26.000000 	 0.333333 	 0.037037 	 0.066667 
0.500000	 1.000000 	 2.000000 	 26.000000 	 0.333333 	 0.037037 	 0.066667 
0.520000	 1.000000 	 2.000000 	 26.000000 	 0.333333 	 0.037037 	 0.066667 
0.540000	 1.000000 	 1.000000 	 26.000000 	 0.500000 	 0.037037 	 0.068966 
0.560000	 1.000000 	 0.000000 	 26.000000 	 1.000000 	 0.037037 	 0.071429 
0.580000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.600000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.620000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.640000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.660000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.680000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.700000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.720000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.740000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.760000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.780000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.800000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.820000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.840000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.860000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.880000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.900000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.920000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.940000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.960000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
0.980000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
1.000000	 0.000000 	 0.000000 	 27.000000 	 NaN 	 0.000000 	 0.000000 
